"REGISTRO_COMPLEXO";"CEP_COMPLEXO";"lat";"long";"certo";"DATA_ABERTURA";"DATA_FINAL"
2535;"Brasil, 70300-500";-33,5223478;-56,8965309;1;2000-07-29;2024-12-10
2536;"Brasil, 01238-000";-23,5426261333333;-46,6575236;1;1999-12-17;2024-12-10
15598;"Brasil, 01327-001";-23,5667098272727;-46,6445086727273;1;2009-06-05;2024-12-10
2538;"Brasil, 13094-691";-24,2654749;-53,8365543959759;1;2002-03-15;2024-12-10
2539;"Brasil, 14096-350";-21,2061026375;-47,7698591875;1;1999-12-22;2024-12-10
2541;"Brasil, 22250-040";-22,94493585;-43,1814108;1;1999-12-03;2024-12-10
15415;"Brasil, 49035-810";-24,29056495;-53,8266961902471;1;2009-03-13;2024-12-10
16978;"Brasil, 06020-010";-23,53904085;-46,767970975;1;2010-03-05;2024-12-10
25602;"Brasil, 02240-000";-23,477985636;-46,602238392;1;2013-08-07;2024-12-10
24764;"Brasil, 07034-911";-23,4880534166667;-46,5494112666667;1;2009-06-01;2024-12-10
27429;"Brasil, 30180-915";-24,30420775;-53,8376257565871;1;2014-01-01;2024-12-10
27468;"Brasil, 30320-900";-19,9745757;-43,9447999;1;2014-01-01;2024-12-10
17609;"Brasil, 71503-504";-15,7205465;-47,8858569;1;2010-04-02;2024-12-10
12976;"Brasil, 41820-021";-12,97939615;-38,4550347333333;1;2007-07-02;2024-12-10
17514;"Brasil, 15600-000";-20,2815086189189;-50,2496037918919;1;2008-01-04;2013-12-06
14792;"Brasil, 95185-000";-29,3000357642857;-51,5269236214286;1;1993-02-03;2014-10-15
14832;"Brasil, 30320-900";-19,9745757;-43,9447999;1;2008-07-01;2013-12-31
14833;"Brasil, 30180-915";-24,30420775;-53,8376257565871;1;2008-07-01;2013-12-31
11851;"Brasil, 22440-900";-28,1123214;-54,7176521;1;2006-12-01;2008-12-31
6692;"Brasil, 22440-900";-28,1123214;-54,7176521;1;2005-09-05;2008-12-31
34180;"Brasil, 18550-000";-23,2830440111111;-47,676203012963;1;2014-12-18;2024-12-10
17321;"Brasil, 29303-384";-22,8739117;-43,2502397;1;2009-02-01;2024-12-10
18289;"Brasil, 13970-050";-22,5198122;-47,3933638;1;2010-05-18;2013-04-03
3166;"Brasil, 13900-000";-22,7098387289474;-46,7575062947368;1;2001-11-30;2011-02-07
18290;"Brasil, 13800-060";-23,2210055;-45,9012132;1;2007-06-01;2013-12-31
3167;"Brasil, 13900-005";-30,8165458;-53,9045897796332;1;2002-12-03;2011-02-07
3165;"Brasil, 13908-602";-15,8616634;-48,0912745732354;1;1998-10-27;2011-08-11
12260;"Brasil, 29500-000";-20,7565141401361;-41,5196314027211;1;2006-05-25;2008-12-31
46296;"Brasil, 06455-010";-23,5003231571429;-46,8564174428571;1;2020-08-24;2021-03-11
50071;"Brasil, 49020-460";-24,28352305;-53,8305677620794;1;2021-12-03;2024-12-10
